gen,sire,dam
IITA-TMS-IBA010903,0,0
IITA-TMS-IBA972205,0,0
IITA-TMS-IBA980505,0,0
IITA-TMS-IBA982101,0,0
IITA-TMS-IBA020285,0,0
IITA-TMS-IBA063046,0,0
IITA-TMS-IBA070025,0,0
IITA-TMS-IBA0700258,0,0
TMEB419,0,0
IITA-TMS-IBA993073,0,0
IITA-TMS-IBA020431,0,0
IITA-TMS-IBA011412,0,0
IITA-TMS-IBA020129,0,0
IITA-TMS-IBA030060,0,0
IITA-TMS-IBA940237,0,0
IITA-TMS-IBA970425,0,0
IITA-TMS-IBA974580,0,0
IITA-TMS-IBA974766,0,0
IITA-TMS-IBA000211,0,0
IITA-TMS-IBA071313,0,0
IITA-TMS-ZAR930151,0,0
TMS13F1303P0001,0,0
TMS13F1288P0009,0,0
TMS13F1306P0003,0,0
TMS13F1307P0011,0,0
TMS13F1307P0008,0,0
TMS13F1307P0020,0,0
TMS13F1095P0009,0,0
TMS13F1109P0009,0,0
TMS13F1391P0039,0,0
TMS13F1024P0002,0,0
TMS13F1309P0001,0,0
TMS13F1087P0002,0,0
TMS13F1212P0055,0,0
TMS13F1212P0058,0,0
TMS13F1101P0007,0,0
TMS13F1106P0006,0,0
TMS13F1107P0010,0,0
TMS13F1063P0009,0,0
TMS13F1088P0008,0,0
IITA-TMS-IBA961632,0,0
IITA-TMS-MM970806,0,0
IITA-TMS-IBA930265,0,0
IITA-TMS-IBA930134,0,0
IITA-TMS-IBA930007,0,0
IITA-TMS-IBA30572,0,0
IITA-TMS-IBA000350,0,0
IITA-TMS-IBA950279,0,0
IITA-TMS-IBA940006,0,0
IITA-TMS-IBA051740,0,0
IITA-TMS-IBA960023,0,0
IITA-TMS-MM990477,0,0
IITA-TMS-IBA980581,0,0
TMS13F1020P0002,0,0
TMS13F1108P0007,0,0
TMS13F1333P0003,0,0
TMS13F1333P0017,0,0
TMS13F1176P0003,0,0
TMS13F1154P0010,0,0
IITA-TMS-IBA030055A,0,0
IITA-TMS-MM970043,0,0
IITA-TMS-IBA000070,0,0
TMS13F1020P0001,IITA-TMS-IBA020285,IITA-TMS-IBA010903
TMS13F1021P0008,0,0
TMS13F1049P0001,0,0
TMS13F1053P0009,IITA-TMS-IBA930007,IITA-TMS-IBA972205
TMS13F1053P0010,IITA-TMS-IBA930007,IITA-TMS-IBA972205
TMS13F1053P0015,IITA-TMS-IBA930007,IITA-TMS-IBA972205
TMS13F1063P0013,IITA-TMS-IBA30572,IITA-TMS-IBA980505
TMS13F1069P0024,IITA-TMS-IBA011412,IITA-TMS-IBA982101
TMS13F1088P0007,IITA-TMS-IBA000350,IITA-TMS-IBA020285
TMS13F1095P0011,IITA-TMS-IBA950279,IITA-TMS-IBA063046
TMS13F1114P0001,0,0
TMS13F1122P0005,IITA-TMS-IBA000350,IITA-TMS-IBA070025
TMS13F1124P0004,IITA-TMS-IBA071313,IITA-TMS-IBA0700258
TMS13F1126P0003,IITA-TMS-IBA30572,TMEB419
TMS13F1126P0006,IITA-TMS-IBA30572,TMEB419
TMS13F1153P0001,IITA-TMS-IBA940006,IITA-TMS-IBA993073
TMS13F1160P0004,IITA-TMS-IBA051740,IITA-TMS-IBA993073
TMS13F1176P0002,IITA-TMS-IBA960023,IITA-TMS-IBA020431
TMS13F1182P0002,0,0
TMS13F1203P0042,IITA-TMS-MM990477,IITA-TMS-IBA011412
TMS13F1288P0005,IITA-TMS-IBA010903,IITA-TMS-IBA020129
TMS13F1304P0003,0,0
TMS13F1307P0016,IITA-TMS-IBA010903,IITA-TMS-IBA030060
TMS13F1315P0008,0,0
TMS13F1329P0003,TMEB419,IITA-TMS-IBA940237
TMS13F1343P0002,IITA-TMS-IBA930007,IITA-TMS-IBA970425
TMS13F1343P0013,IITA-TMS-IBA930007,IITA-TMS-IBA970425
TMS13F1343P0022,IITA-TMS-IBA930007,IITA-TMS-IBA970425
TMS13F1343P0044,IITA-TMS-IBA930007,IITA-TMS-IBA970425
TMS13F1343P0045,IITA-TMS-IBA930007,IITA-TMS-IBA970425
TMS13F1362P0001,IITA-TMS-IBA930007,IITA-TMS-IBA974580
TMS13F1365P0002,IITA-TMS-IBA930007,IITA-TMS-IBA974766
TMS13F1365P0029,IITA-TMS-IBA930007,IITA-TMS-IBA974766
TMS13F1376P0018,0,0
TMS13F1377P0018,IITA-TMS-IBA930007,IITA-TMS-IBA000211
TMS13F1400P0001,0,0
TMS13F1401P0016,IITA-TMS-IBA930007,IITA-TMS-IBA071313
TMS13F1461P0002,0,0
TMS13F2061P0005,0,0
TMS13F2110P0008,IITA-TMS-IBA980581,IITA-TMS-ZAR930151
TMS13F2207P0001,0,0
TMS14F1001P0004,TMS13F1020P0002,TMS13F1303P0001
TMS14F1013P0007,TMS13F1108P0007,TMS13F1288P0009
TMS14F1014P0016,TMS13F1108P0007,TMS13F1306P0003
TMS14F1014P0017,0,0
TMS14F1016P0006,TMS13F1108P0007,TMS13F1307P0011
TMS14F1019P0015,TMS13F1108P0007,TMS13F1307P0008
TMS14F1022P0003,TMS13F1106P0006,TMS13F1307P0020
TMS14F1022P0006,TMS13F1106P0006,TMS13F1307P0020
TMS14F1035P0004,TMS13F1307P0008,TMS13F1095P0009
TMS14F1035P0007,TMS13F1307P0008,TMS13F1095P0009
TMS14F1036P0007,TMS13F1307P0020,TMS13F1109P0009
TMS14F1049P0001,TMS13F1306P0003,TMS13F1391P0039
TMS14F1098P0013,TMS13F1333P0003,TMS13F1024P0002
TMS14F1120P0003,TMS13F1333P0003,TMS13F1309P0001
TMS14F1125P0010,TMS13F1333P0017,TMS13F1391P0039
TMS14F1131P0001,TMS13F1176P0003,TMS13F1087P0002
TMS14F1146P0002,TMS13F1307P0020,TMS13F1212P0055
TMS14F1159P0003,TMS13F1154P0010,TMS13F1212P0058
TMS14F1194P0002,TMS13F1307P0020,TMS13F1101P0007
TMS14F1195P0004,TMS13F1307P0020,TMS13F1106P0006
TMS14F1195P0005,TMS13F1307P0020,TMS13F1106P0006
TMS14F1196P0003,TMS13F1307P0020,TMS13F1107P0010
TMS14F1208P0007,TMS13F1020P0002,TMS13F1106P0006
TMS14F1223P0007,TMS13F1108P0007,TMS13F1106P0006
TMS14F1224P0004,TMS13F1212P0055,TMS13F1106P0006
TMS14F1262P0002,TMS13F1307P0008,TMS13F1063P0009
TMS14F1278P0003,TMS13F1106P0006,TMS13F1088P0008
TMS14F1285P0006,0,0
TMS14F1285P0017,IITA-TMS-IBA000070,IITA-TMS-IBA961632
TMS14F1287P0008,IITA-TMS-ZAR930151,IITA-TMS-MM970806
TMS14F1288P0008,0,0
TMS14F1291P0003,IITA-TMS-IBA030055A,IITA-TMS-IBA961632
TMS14F1291P0011,IITA-TMS-IBA030055A,IITA-TMS-IBA961632
TMS14F1291P0012,IITA-TMS-IBA030055A,IITA-TMS-IBA961632
TMS14F1292P0012,IITA-TMS-IBA030055A,IITA-TMS-MM970806
TMS14F1295P0012,IITA-TMS-IBA030055A,IITA-TMS-IBA930265
TMS14F1297P0019,IITA-TMS-MM970806,IITA-TMS-IBA020431
TMS14F1299P0007,IITA-TMS-MM970806,IITA-TMS-IBA993073
TMS14F1300P0002,IITA-TMS-MM970043,IITA-TMS-ZAR930151
TMS14F1300P0008,IITA-TMS-MM970043,IITA-TMS-ZAR930151
TMS14F1301P0004,IITA-TMS-IBA030055A,IITA-TMS-IBA020431
TMS14F1301P0013,IITA-TMS-IBA030055A,IITA-TMS-IBA020431
TMS14F1303P0012,IITA-TMS-IBA930134,IITA-TMS-ZAR930151
TMS14F1306P0008,IITA-TMS-MM970043,IITA-TMS-IBA030060
TMS14F1306P0015,IITA-TMS-MM970043,IITA-TMS-IBA030060
TMS14F1306P0020,IITA-TMS-MM970043,IITA-TMS-IBA030060
TMS14F1310P0004,IITA-TMS-IBA930265,IITA-TMS-IBA030060
TMS14F1310P0015,IITA-TMS-IBA930265,IITA-TMS-IBA030060
TMS14F1311P0002,IITA-TMS-ZAR930151,IITA-TMS-IBA030060
TMS14F1312P0003,IITA-TMS-ZAR930151,IITA-TMS-IBA930134