"","gen","OP","RMSD","rank_OP","rank_RMSD","sum_rank"
"87","TMS14F1301P0004",4.37404972447286,0.475158319249915,8,5,13
"1","IITA-TMS-IBA000070",6.90271886864715,0.733597915832139,2,14,16
"57","TMS14F1036P0007",6.46066995764024,0.988400070218158,4,22,26
"61","TMS14F1125P0010",4.09928567740584,0.892040502571603,10,16,26
"92","TMS14F1306P0020",1.80914604387304,0.285953126573087,26,1,27
"46","TMS13F2207P0001",2.04493144540135,0.615360609141109,21,10,31
"40","TMS13F1377P0018",1.4156598597262,0.449493211505979,34,3,37
"72","TMS14F1262P0002",2.91560810971976,1.15963660166729,14,30,44
"74","TMS14F1285P0006",2.02322175067217,0.986643757974938,23,21,44
"91","TMS14F1306P0015",0.654009644826549,0.418828568838841,44,2,46
"24","TMS13F1182P0002",1.54871268270567,0.926772581344627,32,17,49
"10","TMS13F1053P0010",4.28821131471388,1.47688436549247,9,43,52
"55","TMS14F1035P0004",1.69832797010013,1.02105603035659,28,25,53
"62","TMS14F1131P0001",2.3913547233944,1.4075456967555,17,39,56
"26","TMS13F1288P0005",1.06621708745334,0.975742930501596,38,19,57
"48","TMS14F1013P0007",-0.0465062879623111,0.498530507808618,52,6,58
"15","TMS13F1095P0011",1.55834620804094,1.09375225930989,31,28,59
"93","TMS14F1310P0004",0.662093837294355,0.976976753896408,42,20,62
"18","TMS13F1124P0004",1.78750750601169,1.38555705931392,27,37,64
"47","TMS14F1001P0004",2.27133111058936,1.5814907066754,18,46,64
"94","TMS14F1310P0015",5.31938784624932,1.82128234531213,5,61,66
"11","TMS13F1053P0015",2.96712990261341,1.76557393729978,13,56,69
"21","TMS13F1153P0001",0.29102982148825,1.00297778621913,48,23,71
"50","TMS14F1014P0017",-1.00410617556016,0.618106018145799,60,11,71
"75","TMS14F1285P0017",3.86641424794159,1.90587354242864,12,64,76
"43","TMS13F1461P0002",-1.77063152295356,0.500323237785034,70,7,77
"88","TMS14F1301P0013",4.98903801333682,2.18168844199806,6,73,79
"89","TMS14F1303P0012",0.203342935395498,1.1417543737465,51,29,80
"31","TMS13F1343P0002",0.396430416272726,1.27056686675226,47,34,81
"33","TMS13F1343P0022",2.23552057704573,1.85001885114455,19,62,81
"66","TMS14F1195P0004",-1.08664542073196,0.945408421837235,63,18,81
"30","TMS13F1329P0003",0.742727403236523,1.4512212416866,41,41,82
"34","TMS13F1343P0044",-2.33319941180919,0.61113060311589,73,9,82
"39","TMS13F1376P0018",7.36939399233596,2.72107569326531,1,82,83
"42","TMS13F1401P0016",0.444255040221178,1.46809774860458,46,42,88
"69","TMS14F1208P0007",0.801742518491512,1.59101097054109,40,48,88
"6","TMS13F1020P0001",0.89884983367614,1.59622841135554,39,50,89
"45","TMS13F2110P0008",2.51654213063598,2.18353025474137,16,74,90
"28","TMS13F1307P0016",2.2198097518698,2.15262878720075,20,72,92
"54","TMS14F1022P0006",2.04133882200571,2.07225256775071,22,70,92
"73","TMS14F1278P0003",-1.38956708343342,1.03371145620048,67,26,93
"82","TMS14F1295P0012",-0.289094371668834,1.38817483588883,56,38,94
"13","TMS13F1069P0024",2.7910103238748,2.61368238761604,15,81,96
"27","TMS13F1304P0003",6.56425242917831,3.43776149344543,3,93,96
"38","TMS13F1365P0029",-4.25156159463306,0.474807160680241,92,4,96
"52","TMS14F1019P0015",-3.60408562717102,0.702545063880984,83,13,96
"51","TMS14F1016P0006",4.66040574087023,3.01069748497243,7,90,97
"2","IITA-TMS-IBA30572",-3.9001853515161,0.569120481042851,90,8,98
"19","TMS13F1126P0003",-3.60622027988378,0.862765692408584,84,15,99
"22","TMS13F1160P0004",-1.41024354809339,1.2543682321007,68,33,101
"25","TMS13F1203P0042",-2.35062600063357,1.03620822493604,74,27,101
"76","TMS14F1287P0008",1.97751994343022,2.24793682092023,25,76,101
"70","TMS14F1223P0007",0.658919568529622,1.79548764049612,43,59,102
"37","TMS13F1365P0002",4.01683894299203,3.19625664999794,11,92,103
"68","TMS14F1196P0003",1.19007492548733,2.00791666250943,36,67,103
"65","TMS14F1194P0002",-0.826014587698878,1.5638953435795,59,45,104
"58","TMS14F1049P0001",-5.38232823903032,0.6614412460409,93,12,105
"90","TMS14F1306P0008",-0.125323505264125,1.6435250856265,54,51,105
"14","TMS13F1088P0007",-0.393262194988421,1.59556926040217,57,49,106
"36","TMS13F1362P0001",0.253182768229006,1.78886402474572,49,58,107
"56","TMS14F1035P0007",-0.243835282431394,1.66859977862316,55,52,107
"20","TMS13F1126P0006",1.1141450821391,2.08206141188927,37,71,108
"53","TMS14F1022P0003",1.64497656106616,2.49274425796717,29,79,108
"84","TMS14F1299P0007",-2.26871565127671,1.3480603428668,72,36,108
"49","TMS14F1014P0016",-3.75860556479114,1.01434759047178,85,24,109
"41","TMS13F1400P0001",-3.33277022439277,1.23790015515228,80,32,112
"64","TMS14F1159P0003",0.633826557645144,2.05191645974774,45,68,113
"4","IITA-TMS-IBA982101",1.98436349885135,3.02565603940222,24,91,115
"7","TMS13F1021P0008",1.46441182208474,2.74230141471097,33,83,116
"12","TMS13F1063P0013",-3.76625858247,1.16954996087283,86,31,117
"23","TMS13F1176P0002",-0.552197033932669,1.81133708252054,58,60,118
"32","TMS13F1343P0013",-1.00757065009677,1.77041618522251,61,57,118
"96","TMS14F1312P0003",-2.82111298884001,1.5061690560176,76,44,120
"44","TMS13F2061P0005",-1.37626927246661,1.76475363055307,66,55,121
"67","TMS14F1195P0005",-2.74195737395343,1.58978742130462,75,47,122
"85","TMS14F1300P0002",1.3367779362398,2.89753759291528,35,87,122
"3","IITA-TMS-IBA980581",1.56465692106544,4.1185925038165,30,96,126
"86","TMS14F1300P0008",-0.0643759598585619,2.24364770884883,53,75,128
"17","TMS13F1122P0005",-3.87768338590744,1.43496460084085,89,40,129
"35","TMS13F1343P0045",-6.10514838451541,1.34633239947688,95,35,130
"80","TMS14F1291P0012",-1.35866200574139,2.05997153454724,65,69,134
"8","TMS13F1049P0001",-3.56722578098478,1.67364363313506,82,53,135
"78","TMS14F1291P0003",0.205970321677206,2.86445743057844,50,86,136
"16","TMS13F1114P0001",-4.20059849869024,1.75102208652513,91,54,145
"63","TMS14F1146P0002",-1.0690152168923,2.77093745638375,62,84,146
"29","TMS13F1315P0008",-1.7817797497515,2.2577278945742,71,77,148
"9","TMS13F1053P0009",-3.81906550147653,1.96888925344996,88,66,154
"59","TMS14F1098P0013",-1.73003367313601,2.93919195272777,69,88,157
"60","TMS14F1120P0003",-5.49574084246508,1.85981296632428,94,63,157
"5","TMEB419",-1.2410352404676,3.81853733660653,64,95,159
"81","TMS14F1292P0012",-3.2735565197265,2.60542744807468,79,80,159
"95","TMS14F1311P0002",-3.43365562566287,2.29931888770641,81,78,159
"77","TMS14F1288P0008",-7.44760761613821,1.92082389652641,96,65,161
"83","TMS14F1297P0019",-2.99907163825355,2.82456940243901,77,85,162
"79","TMS14F1291P0011",-3.18116258416116,2.96027658386276,78,89,167
"71","TMS14F1224P0004",-3.77610830841981,3.47683217660603,87,94,181
